,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
1,Fauna, Anfibios, Eleutherodactylidae, Adelophryne maranguapensis, Desconhecido, Vulneravel VU , VU, Caatinga," Agropecuaria, Assentamento Humano cidades", Nao, Sim, Nao,2, Sim, CE
2,Fauna, Anfibios, Hylidae, Agalychnis granulosa, Desconhecido, Vulneravel VU , VU, Mata Atlantica," Agropecuaria, Assentamento Humano cidades", Sim, Sim, Nao,4, Sim," AL, PE"
3,Fauna, Anfibios, Aromobatidae, Allobates brunneus, Desconhecido, Criticamente em Perigo CR , CR, Cerrado," Agropecuaria, Outras Atividades Economicas Energia", Nao, Sim, Nao,1, Sim, MT
4,Fauna, Anfibios, Aromobatidae, Allobates goianus, Desconhecido, Em Perigo EN , EN, Cerrado," Agropecuaria, Mineracao, Outras Atividades Economicas Energia", Sim, Sim, Nao,3, Sim," DF, GO"
5,Fauna, Anfibios, Aromobatidae, Allobates olfersioides, Desconhecido, Vulneravel VU , VU, Mata Atlantica, Assentamento Humano cidades, Sim, Sim, Nao,3, Sim, RJ
6,Fauna, Anfibios, Hylidae, Aparasphenodon pomba, Perereca, Criticamente em Perigo CR , CR, Mata Atlantica," Agropecuaria, Assentamento Humano cidades, Outras Atividades Economicas Industrias, Poluicao", Nao, Sim, Nao,2, Sim, MG
7,Fauna, Anfibios, Hylidae, Bokermannohyla vulcaniae, Desconhecido, Criticamente em Perigo CR , CR, Mata Atlantica," Agropecuaria, Mineracao", Nao, Sim, Nao,2, Sim, MG
8,Fauna, Anfibios, Plethodontidae, Bolitoglossa paraensis, Salamandra, Em Perigo EN , EN, Amazonia, Agropecuaria, Sim, Sim, Nao,2, Sim, PA
9,Fauna, Anfibios, Brachycephalidae, Brachycephalus pernix, Desconhecido, Criticamente em Perigo CR , CR, Mata Atlantica, Outras Atividades Economicas Turismo, Nao, Sim, Nao,1, Sim, PR
10,Fauna, Anfibios, Microhylidae, Chiasmocleis alagoanus, Desconhecido, Em Perigo EN , EN, Mata Atlantica," Agropecuaria, Assentamento Humano cidades", Sim, Sim, Nao,2, Sim," AL, PB, PE"
11,Fauna, Anfibios, Hylodidae, Crossodactylus dantei, Desconhecido, Em Perigo EN , EN, Mata Atlantica," Agropecuaria, Assentamento Humano rurais, Extracao Florestal", Sim, Sim, Nao,2, Sim, AL
12,Fauna, Anfibios, Hylodidae, Crossodactylus lutzorum, Desconhecido, Criticamente em Perigo CR , CR, Mata Atlantica," Agropecuaria, Assentamento Humano rurais, Extracao Florestal", Sim, Sim, Nao,2, Sim, BA
13,Fauna, Anfibios, Cycloramphidae, Cycloramphus diringshofeni, Desconhecido, Criticamente em Perigo CR , CR, Mata Atlantica," Agropecuaria, Assentamento Humano cidades", Nao, Sim, Nao,1, Sim, SC
